"Gen"	"pValue"
"1"	"J03934_s_at"	1.94263270235442e-12
"2"	"M74542_at"	1.94263270235442e-12
"3"	"U05861_at"	3.88526540470883e-12
"4"	"K02765_at"	7.77053080941766e-12
"5"	"U03688_at"	5.82789810706325e-11
"6"	"U43944_at"	1.30156391057746e-10
"7"	"X76342_at"	1.30156391057746e-10
"8"	"D17793_at"	2.70025945627264e-10
"9"	"X68314_at"	2.70025945627264e-10
"10"	"M32053_at"	5.28396095040401e-10
"11"	"X04741_at"	5.94732261111459e-10
"12"	"L42563_at"	7.46382720630475e-10
"13"	"M69177_at"	3.10238442566e-09
"14"	"X91247_at"	3.62694843540077e-09
"15"	"Y07867_at"	5.10782845914453e-09
"16"	"X15414_at"	5.26647725608282e-09
"17"	"X12433_at"	7.88745917631241e-09
"18"	"M10942_at"	8.62341534905e-09
"19"	"U89916_at"	1.41676202982708e-08
"20"	"L19437_at"	2.82730763500662e-08
"21"	"X02612_at"	8.25852014424909e-08
"22"	"X64177_f_at"	1.21560158446392e-07
"23"	"U30255_at"	1.43116406217352e-07
"24"	"U17077_at"	2.67890992287376e-07
"25"	"M90656_at"	2.92598807975106e-07
"26"	"L20941_at"	3.81866494839214e-07
"27"	"M21984_at"	3.87675667347252e-07
"28"	"J04093_s_at"	5.55340410622057e-07
"29"	"M69203_s_at"	5.67834843530618e-07
"30"	"U22028_at"	6.62233775069108e-07
"31"	"J03910_rna1_at"	1.1077824132522e-06
"32"	"U03057_at"	1.1077824132522e-06
"33"	"M69043_at"	1.12580166734826e-06
"34"	"S82470_at"	1.55530029963151e-06
"35"	"J04056_at"	1.57779556569137e-06
"36"	"L19779_at"	1.81741448362605e-06
"37"	"AF000573_rna1_at"	2.03816224160128e-06
"38"	"U21049_at"	2.50275004679156e-06
"39"	"X81817_at"	2.75514679916345e-06
"40"	"X55448_cds1_s_at"	4.59251661899262e-06
"41"	"AB000584_at"	4.64032982609265e-06
"42"	"M21904_at"	4.64032982609265e-06
"43"	"J02871_s_at"	5.39073387162351e-06
"44"	"L10343_at"	8.16185461151222e-06
"45"	"L12711_s_at"	8.36624689812545e-06
"46"	"U14394_at"	8.36624689812545e-06
"47"	"U09510_s_at"	1.11241462093096e-05
"48"	"U84487_at"	1.14628002231208e-05
"49"	"D16469_at"	1.3045992113304e-05
"50"	"U82970_at"	1.45432730903226e-05
"51"	"L13329_at"	1.68597576072148e-05
"52"	"X59766_at"	1.72449576114523e-05
"53"	"X82456_at"	1.73597105819269e-05
"54"	"M83308_at"	2.20816145327573e-05
"55"	"D00632_at"	2.84283228702375e-05
"56"	"V00594_at"	3.27494032955279e-05
"57"	"J04130_s_at"	3.53500786319299e-05
"58"	"M36284_s_at"	3.86611059153071e-05
"59"	"D90097_at"	4.06641790457132e-05
"60"	"U48959_at"	4.23031446545813e-05
